	name	length
155	ABC2_membrane_2	288
156	ABC2_membrane_3	345
157	ABC2_membrane_4	179
158	ABC2_membrane_5	206
159	ABC2_membrane_6	229
160	ABC_ATPase	448
161	ABC_cobalt	121
162	ABC_export	534
163	ABC_membrane	274
164	ABC_membrane_2	282
165	ABC_membrane_3	237
166	ABC_sub_bind	293
167	ABC_tran	137
168	ABC_transp_aux	265
169	ABC_trans_aux	161
170	ABC_trans_CmpB	148
171	ABC_trans_N	80
172	ABC_tran_2	542
173	ABC_tran_CTD	69
174	ABC_tran_Xtn	85
175	Abdominal-A	24
176	AbfB	140
177	ABG_transport	502
178	Abhydrolase_1	256
179	Abhydrolase_2	217
180	Abhydrolase_3	211
181	Abhydrolase_4	103
182	Abhydrolase_5	164
183	Abhydrolase_6	212
184	Abhydrolase_7	388
185	Abhydrolase_8	178
186	Abhydrolase_9	288
187	Abhydrolase_9_N	209
188	Abhydro_lipase	64
189	Abi	92
190	AbiEii	239
191	AbiEi_1	143
192	AbiEi_2	143
193	AbiEi_3	159
194	AbiEi_3_N	93
195	AbiEi_4	49
196	AbiGi	178
197	AbiGii_2	397
198	AbiH	267
199	Abi_2	179
200	Abi_C	83
201	Abi_HHR	77
202	AbLIM_anchor	376
203	ABM	78
204	Abp2	171
205	AbrB	314
206	AbrB-like	70
207	Ac110_PIF	43
208	Ac76	83
209	Ac81	181
210	ACAS_N	55
211	Acatn	548
212	ACBP	85
213	ACCA	144
214	ACC_central	736
215	ACC_epsilon	61
216	ACD	386
217	ACDC	91
218	AceK	561
219	Acetate_kinase	390
220	AcetDehyd-dimer	138
221	Acetone_carb_G	114
222	AcetylCoA_hydro	198
223	AcetylCoA_hyd_C	154
224	Acetyltransf_1	117
225	Acetyltransf_10	127
226	Acetyltransf_11	82
227	Acetyltransf_13	69
228	Acetyltransf_14	177
229	Acetyltransf_15	210
230	Acetyltransf_16	174
231	Acetyltransf_2	240
232	Acetyltransf_3	138
233	Acetyltransf_4	153
234	Acetyltransf_5	101
235	Acetyltransf_6	142
236	Acetyltransf_7	76
237	Acetyltransf_8	145
238	Acetyltransf_9	128
239	Acetyltransf_CG	80
240	AChE_tetra	37
241	ACI44	65
242	Acid_phosphat_B	230
243	Acid_PPase	169
244	AcMNPV_Ac109	390
245	Aconitase	462
246	Aconitase_2_N	204
247	Aconitase_B_N	154
248	Aconitase_C	131
249	ACOX	180
250	ACP	83
251	Acp26Ab	90
252	ACP53EA	90
253	ACPS	114
254	ACP_PD	105
255	ACP_syn_III	80
256	ACP_syn_III_C	90
257	AcrZ	48
258	ACR_tran	1021
259	ACT	67
260	Act-Frag_cataly	282
261	ActA	633
262	ACTH_assoc	28
263	ACTH_domain	19
264	Actin	407
265	Actino_peptide	58
266	Actin_micro	369
267	Activator-TraM	142
268	Activator_LAG-3	468
269	Activin_recp	86
270	ACTL7A_N	65
271	ACT_3	70
272	ACT_4	80
273	ACT_5	62
274	ACT_6	76
275	ACT_7	65
276	Acyl-ACP_TE	245
277	Acyl-CoA_dh_1	150
278	Acyl-CoA_dh_2	134
279	Acyl-CoA_dh_C	124
280	Acyl-CoA_dh_M	97
281	Acyl-CoA_dh_N	113
282	Acyl-CoA_ox_N	125
283	Acyl-thio_N	131
284	AcylCoA_dehyd_C	111
285	AcylCoA_DH_N	32
286	Acylphosphatase	85
287	Acyltransferase	134
288	Acyltransf_C	75
289	Acyl_CoA_thio	132
290	Acyl_transf_1	319
291	Acyl_transf_2	294
292	Acyl_transf_3	340
293	AC_N	415
294	AD	89
295	Ada3	131
296	ADAM17_MPD	62
297	ADAM_CR	117
298	ADAM_spacer1	114
299	Adaptin_binding	121
300	Adaptin_N	524
301	Adap_comp_sub	264
302	Ada_Zn_binding	65
303	ADC	236
304	Adenine_deam_C	169
305	Adenine_glyco	177
306	Adenosine_kin	154
307	Adeno_100	593
308	Adeno_52K	201
309	Adeno_E1A	289
310	Adeno_E1B_19K	135
311	Adeno_E1B_55K	387
312	Adeno_E1B_55K_N	71
313	Adeno_E3	127
314	Adeno_E3A	104
315	Adeno_E3B	67
316	Adeno_E3_14_5	100
317	Adeno_E3_15_3	117
318	Adeno_E3_CR1	95
319	Adeno_E3_CR2	38
320	Adeno_E4	108
321	Adeno_E4_34	145
322	Adeno_E4_ORF3	113
323	Adeno_GP19K	132
324	Adeno_hexon	493
325	Adeno_hexon_C	241
326	Adeno_IVa2	370
327	Adeno_knob	178
328	Adeno_Penton_B	461
329	Adeno_PIX	110
330	Adeno_PV	355
331	Adeno_PVIII	216
332	Adeno_PX	42
333	Adeno_shaft	34
334	Adeno_terminal	557
335	Adeno_VII	122
336	AdenylateSensor	117
337	Adenylate_cycl	601
338	Adenylsucc_synt	419
339	Adenyl_cycl_N	199
340	Adenyl_transf	279
341	AdHead_fibreRBD	201
342	Adhes-Ig_like	110
343	Adhesin_Dr	139
344	Adhesin_E	125
345	Adhesin_P1	91
346	ADH_N	109
347	ADH_N_2	108
348	ADH_N_assoc	23
349	adh_short	195
350	adh_short_C2	234
351	ADH_zinc_N	130
352	ADH_zinc_N_2	134
353	ADIP	152
354	Adipogenin	79
355	Adipokin_hormo	48
356	ADK	151
357	ADK_lid	36
358	AdoHcyase	295
359	AdoHcyase_NAD	162
360	AdoMetDC_leader	51
361	AdoMet_dc	106
362	AdoMet_MTase	112
363	AdoMet_Synthase	396
364	ADPrib_exo_Tox	197
365	ADP_PFK_GK	425
366	ADP_ribosyl_GH	291
367	ADSL_C	73
368	Ad_cyc_g-alpha	48
369	Ad_Cy_reg	186
370	Aegerolysin	131
371	AEP1	396
372	Aerolysin	365
373	AF-4	1227
374	AF0941-like	113
375	AF2331-like	91
376	AfaD	105
377	Afaf	198
378	AFG1_ATPase	362
379	Afi1	133
380	AflR	287
381	AFOR_C	382
382	AFOR_N	198
383	AFP	12
384	AfsA	133
385	AFT	111
386	Aft1_HRA	79
387	Aft1_HRR	71
388	Aft1_OSA	57
389	AftA_C	176
390	AftA_N	427
391	Ag332	21
392	AGA2	58
393	Agenet	61
394	Agglutinin	153
395	AGH	121
396	AGOG	248
397	Agouti	91
398	Ago_hook	162
399	AGP	36
400	AgrB	183
401	AgrD	45
402	Agro_virD5	757
403	AGT	355
404	AGTRAP	148
405	Aha1_N	135
406	AHH	114
407	AHL_synthase	377
408	AhpC-TSA	124
409	AhpC-TSA_2	113
410	AHSA1	125
411	AHSP	87
412	AI-2E_transport	327
413	AIB	324
414	AICARFT_IMPCHas	295
415	AIDA	63
416	Aida_C2	146
417	Aida_N	103
418	AIF-MLS	192
419	AIF_C	131
420	AIG1	212
421	AIG2_2	83
422	Ail_Lom	199
423	Aim19	115
424	Aim21	725
425	AIM24	202
426	AIM3	88
427	AIM5	76
428	AIMP2_LysRS_bd	47
429	AIP3	408
430	AIPR	295
431	AIRC	148
432	AIRS	94
433	AIRS_C	156
434	AJAP1_PANP_C	193
435	AKAP28	121
436	AKAP2_C	348
437	AKAP7_NLS	207
438	AKAP7_RIRII_bdg	58
439	AKAP95	164
440	AKAP_110	692
441	AKNA	99
442	ALAD	317
443	AlaDh_PNT_C	214
444	AlaDh_PNT_N	136
445	AlaE	141
446	Alanine_zipper	69
447	Ala_racemase_C	124
448	Ala_racemase_N	219
449	Alb1	105
450	Alba	67
451	AlbA_2	122
452	Albumin_I	35
453	Albumin_I_a	48
454	AlcCBM31	93
455	Aldedh	462
456	Aldolase	196
457	Aldolase_II	186
458	Aldose_epim	301
459	Aldo_ket_red	292
460	Ald_deCOase	218
461	Ald_Xan_dh_C	110
462	Ald_Xan_dh_C2	543
463	ALF	42
464	Alfin	127
465	ALG11_N	209
466	Alg14	175
467	ALG3	351
468	Alg6_Alg8	458
469	AlgF	180
470	Alginate_exp	397
471	Alginate_lyase	272
472	Alginate_lyase2	236
473	ALGX	268
474	ALIX_LYPXL_bnd	295
475	AlkA_N	116
476	Alkyl_sulf_C	126
477	Alkyl_sulf_dimr	139
478	Alk_phosphatase	416
479	Allantoicase	142
480	Allatostatin	11
481	Allene_ox_cyc	175
482	Allexi_40kDa	271
483	Alliinase_C	363
484	ALMS_motif	136
485	ALMT	469
486	ALO	260
487	ALP	167
488	Alpha-2-MRAP_C	212
489	Alpha-2-MRAP_N	118
490	Alpha-amylase	337
491	Alpha-amylase_C	96
492	Alpha-amylase_N	120
493	Alpha-amyl_C	67
494	Alpha-amyl_C2	58
495	Alpha-E	293
496	alpha-hel2	303
497	Alpha-L-AF_C	168
498	Alpha-mann_mid	80
499	AlphaC_C	71
500	AlphaC_N	106
501	Alpha_adaptinC2	111
502	Alpha_adaptin_C	113
503	Alpha_E1_glycop	504
504	Alpha_E2_glycop	403
505	Alpha_E3_glycop	59
506	Alpha_GJ	126
507	Alpha_kinase	179
508	Alpha_L_fucos	332
509	Alpha_TIF	343
510	Alph_Pro_TM	227
511	ALS2CR11	418
512	ALS2CR8	218
513	ALS_ss_C	74
514	AltA1	110
515	Alveol-reg_P311	67
516	AMA-1	467
517	Amastin	155
518	Amb_V_allergen	44
519	Amdo_NSP	48
520	Amelin	417
521	Amelogenin	173
522	Amelotin	195
523	amfpi-1	91
524	AMH_N	386
525	Amidase	451
526	Amidase02_C	44
527	Amidase_2	126
528	Amidase_3	175
529	Amidase_5	142
530	Amidase_6	166
531	Amidinotransf	340
532	Amidohydro_1	344
533	Amidohydro_2	291
534	Amidohydro_3	473
535	Amidoligase_2	253
536	Amido_AtzD_TrzD	362
537	AMIN	98
538	Aminoglyc_resit	174
539	Aminopep	322
540	Aminotran_1_2	363
541	Aminotran_3	406
542	Aminotran_4	223
543	Aminotran_5	371
544	Aminotran_MocR	421
545	Amino_oxidase	451
546	AmiS_UreI	166
547	Amj	253
548	AMMECR1	166
549	Ammonium_transp	399
550	Amnionless	451
551	AMNp_N	156
552	AMO	238
553	AmoC	245
554	AMOP	148
555	AMP-binding	423
556	AMP-binding_C	76
557	AMP-binding_C_2	96
558	AmpE	284
559	AMPK1_CBM	85
560	AMPKBI	75
561	AMP_N	123
562	ANAPC1	130
563	ANAPC10	185
564	ANAPC15	90
565	ANAPC16	80
566	ANAPC2	60
567	ANAPC3	82
568	ANAPC4	204
569	ANAPC4_WD40	92
570	ANAPC5	94
571	ANAPC8	140
572	ANAPC9	118
573	ANAPC_CDC26	75
574	ANATO	36
575	Androgen_recep	484
576	Anemone_cytotox	176
577	AnfG_VnfG	111
578	AnfO_nitrog	190
579	ANF_receptor	352
580	Angiomotin_C	206
581	Anillin	141
582	Anillin_N	86
583	Ank	32
584	ANKH	345
585	Ank_2	84
586	Ank_3	31
587	Ank_4	55
588	Ank_5	56
589	AnmK	366
590	Annexin	66
591	Anoctamin	447
592	Anoct_dimer	227
593	Anophelin	65
594	ANP	31
595	Anp1	264
596	ANT	108
597	AntA	68
598	ANTAR	54
599	ANTH	277
600	Anthrax-tox_M	287
601	Anthrax_toxA	176
602	Anth_Ig	102
603	Anth_synt_I_N	142
604	Anti-adapt_IraP	86
605	Anti-TRAP	59
606	Antibiotic_NAT	221
607	Anticodon_1	152
608	Antifungal_pept	33
609	Antifungal_prot	50
610	Antigen_Bd37	224
611	Antigen_C	168
612	Antig_Caf1	136
613	Antimicrobial10	50
614	Antimicrobial11	16
615	Antimicrobial12	42
616	Antimicrobial13	15
617	Antimicrobial14	31
618	Antimicrobial15	19
619	Antimicrobial17	57
620	Antimicrobial18	60
621	Antimicrobial19	23
622	Antimicrobial20	13
623	Antimicrobial21	30
624	Antimicrobial22	21
625	Antimicrobial23	17
626	Antimicrobial24	25
627	Antimicrobial25	54
628	Antimicrobial_1	24
629	Antimicrobial_2	33
630	Antimicrobial_3	37
631	Antimicrobial_4	24
632	Antimicrobial_5	34
633	Antimicrobial_6	39
634	Antimicrobial_7	43
635	Antimicrobial_8	17
636	Antimicrobial_9	24
637	Antirestrict	92
638	Antistasin	26
639	Antiterm	87
640	Ant_C	93
641	ANXA2R	190
642	An_peroxidase	530
643	AOX	215
644	AP-5_subunit_s1	193
645	AP1AR	276
646	AP2	54
647	AP3B1_C	148
648	AP3D1	158
649	AP4E_app_platf	100
650	APA3_viroporin	273
651	ApbA	152
652	ApbA_C	125
653	ApbE	258
654	Apc13p	89
655	Apc15p	124
656	APCDDC	235
657	APC_15aa	15
658	APC_basic	342
659	APC_N_CC	52
660	APC_r	24
661	APC_u13	54
662	APC_u14	94
663	APC_u15	81
664	APC_u5	100
665	APC_u9	88
666	ApeC	205
667	Apelin	55
668	APG12	87
669	APG17	394
670	APG5	193
671	APG6	312
672	APG9	371
673	APH	240
674	Aph-1	231
675	AphA_like	175
676	APH_6_hur	252
677	API5	519
678	Apidaecin	27
679	Apis_Csd	146
680	Apo-CII	77
681	Apo-CIII	69
682	Apo-VLDL-II	79
683	ApoA-II	75
684	ApoB100_C	57
685	APOBEC_C	78
686	APOBEC_N	175
687	ApoC-I	61
688	APOC4	94
689	Apocytochr_F_C	118
690	Apocytochr_F_N	155
691	ApoL	313
692	Apolipoprotein	194
693	Apolipo_F	200
694	ApoLp-III	146
695	ApoM	188
696	ApoO	130
697	APO_RNA-bind	200
698	APP_amyloid	52
699	APP_Cu_bd	57
700	APP_E2	190
701	APP_N	100
702	Apq12	54
703	APS-reductase_C	82
704	APS_kinase	158
705	APT	87
706	Apt1	478
707	Apyrase	294
708	AP_endonuc_2	210
709	AP_endonuc_2_N	56
710	Aquarius_N	797
711	ARA70	133
712	ArabFuran-catal	317
713	Arabinose_bd	186
714	Arabinose_Isome	356
715	Arabinose_Iso_C	114
716	Arabinose_trans	644
717	Arabino_trans_C	385
718	AraC_binding	136
719	AraC_binding_2	172
720	AraC_N	148
721	ArAE_1	141
722	ArAE_1_C	166
723	ArAE_2	229
724	ArAE_2_N	470
725	Arb1	400
726	Arb2	212
727	Arc	50
728	Archaeal_AmoA	183
729	Archease	138
730	Arch_flagellin	164
731	Arch_fla_DE	95
732	Arc_PepC	112
733	Arc_PepC_II	92
734	Arc_trans_TRASH	37
735	ARD	157
736	ArdA	162
737	AreA_N	94
738	ArenaCapSnatch	172
739	Arena_glycoprot	483
740	Arena_ncap_C	181
741	Arena_nucleocap	334
742	Arena_RNA_pol	2048
743	Arf	175
744	ARF7EP_C	105
745	Arfaptin	229
746	ArfGap	117
747	Arginase	280
748	Arginosuc_synth	388
749	ArgJ	376
750	ArgK	267
751	ARGLU	151
752	ArgoL1	51
753	ArgoL2	47
754	ArgoMid	84
755	ArgoN	140
756	Argos	129
757	Arg_repressor	70
758	Arg_repressor_C	68
759	Arg_tRNA_synt_N	85
760	ARHGEF5_35	488
761	ARID	89
762	Arif-1	205
763	ARL17	62
764	ARL2_Bind_BART	116
765	ARL6IP6	86
766	Arm	41
767	Arm-DNA-bind_1	74
768	Arm-DNA-bind_2	65
769	Arm-DNA-bind_3	74
770	Arm-DNA-bind_4	46
771	Arm-DNA-bind_5	86
772	Armet	145
773	Arm_2	254
774	Arm_3	53
775	Arm_APC_u3	293
776	AroM	218
777	Aromatic_hydrox	241
778	AROS	129
779	ARPC4	167
780	Arr-ms	99
781	Arrestin_C	137
782	Arrestin_N	146
783	ARS2	195
784	ArsA_ATPase	306
785	ArsB	423
786	ArsC	64
787	ArsD	123
788	ArsP_1	294
789	ArsP_2	361
790	ArsR	159
791	ART	222
792	Arteri_env	214
793	Arteri_Gl	179
794	Arteri_GP4	178
795	Arteri_nsp7a	130
796	Arteri_nucleo	116
797	Arv1	209
798	Arylesterase	86
799	Arylsulfotrans	381
800	Arylsulfotran_2	299
801	Arylsulfotran_N	89
802	ASC	442
803	ASCH	107
804	ASD1	170
805	ASD2	290
806	ASF1_hist_chap	154
807	ASFV_360	215
808	ASFV_J13L	189
809	ASFV_L11L	78
810	ASFV_p27	131
811	ASH	98
812	Ashwin	223
813	AsiA	85
814	ASL_C	115
815	ASL_C2	69
816	AsmA	608
817	AsmA_1	214
818	AsmA_2	229
819	AsnA	227
820	AsnC_trans_reg	75
821	Asn_synthase	355
822	Asp	315
823	Asp-Al_Ex	167
824	Asp-B-Hydro_N	243
825	Asp1	522
826	Asp2	511
827	Asp23	108
828	Asp4	55
829	Asp5	73
830	Asparaginase	191
831	Asparaginase_2	306
832	Asparaginase_II	322
833	ASPRs	119
834	Aspzincin_M35	144
835	Asp_Arg_Hydrox	157
836	Asp_decarbox	115
837	Asp_Glu_race	224
838	Asp_Glu_race_2	235
839	Asp_protease	124
840	Asp_protease_2	90
841	Asr	19
842	ASRT	119
843	AstA	337
844	Astacin	191
845	AstB	443
846	AstE_AspA	291
847	Astro_capsid_N	416
848	Astro_capsid_p	363
849	Astro_capsid_p2	245
850	ASXH	139
851	ATAD4	98
852	ATC_hydrolase	145
853	ATE_C	134
854	ATE_N	81
855	ATF7IP_BD	222
856	ATG101	155
857	ATG11	129
858	ATG13	233
859	Atg14	324
860	ATG16	203
861	ATG19_autophagy	246
862	ATG22	478
863	ATG27	264
864	ATG2_CAD	146
865	Atg31	157
866	ATG7_N	299
867	Atg8	104
868	ATG_C	96
869	ATHILA	458
870	ATLF	218
871	ATP-cone	86
872	ATP-grasp	171
873	ATP-grasp_2	202
874	ATP-grasp_3	161
875	ATP-grasp_4	160
876	ATP-grasp_5	222
877	ATP-gua_Ptrans	212
878	ATP-gua_PtransN	67
879	ATP-sulfurylase	212
880	ATP-synt	278
881	ATP-synt_10	257
882	ATP-synt_8	55
883	ATP-synt_A	211
884	ATP-synt_ab	213
885	ATP-synt_ab_C	126
886	ATP-synt_ab_N	69
887	ATP-synt_ab_Xtn	120
888	ATP-synt_B	132
889	ATP-synt_C	60
890	ATP-synt_D	196
891	ATP-synt_DE	47
892	ATP-synt_DE_N	80
893	ATP-synt_E	96
894	ATP-synt_Eps	49
895	ATP-synt_E_2	56
896	ATP-synt_F	91
897	ATP-synt_F6	98
898	ATP-synt_G	100
899	ATP-synt_I	100
900	ATP-synt_J	51
901	ATP-synt_S1	147
902	ATP-synt_Z	53
903	ATP11	272
904	ATP12	127
905	ATP13	115
906	ATP1G1_PLM_MAT8	47
907	ATPase	231
908	ATPase-cat_bd	87
909	ATPase_2	233
910	ATPase_gene1	54
911	ATPgrasp_ST	288
912	ATPgrasp_Ter	334
913	ATPgrasp_TupA	241
914	ATPgrasp_YheCD	257
915	AtpR	86
916	ATP_bind_1	238
917	ATP_bind_2	284
918	ATP_bind_3	182
919	ATP_Ca_trans_C	49
920	ATP_sub_h	69
921	ATP_synth_reg	50
922	ATP_synt_H	62
923	ATP_transf	66
924	ATR13	101
925	Atracotoxin	42
926	Atrophin-1	980
927	ATS	447
928	ATS3	125
929	Attachment_P66	253
930	Attacin_C	120
931	Attacin_N	64
932	Attractin	55
933	Atu4866	75
934	AtuA	351
935	Atx10homo_assoc	99
936	ATXN-1_C	56
937	ATX_III	27
938	AT_hook	13
939	Augurin	114
940	AurF	283
941	Aurora-A_bind	68
942	Autoind_bind	149
943	Autoind_synth	181
944	Autophagy_act_C	55
945	Autophagy_C	25
946	Autophagy_N	137
947	Autotransporter	255
948	Auto_anti-p27	40
949	Auts2	218
950	Auxin_BP	167
951	Auxin_canalis	256
952	Auxin_inducible	90
953	Auxin_repressed	118
954	Auxin_resp	83
955	AUX_IAA	242
956	AveC_like	234
957	Avian_gp85	246
958	Avidin	115
959	AviRa	237
960	Avl9	379
961	AvrB_AvrC	326
962	AvrD	332
963	AvrE	1778
964	AvrL567-A	127
965	AvrPphF-ORF-2	175
966	AvrPto	105
967	AvrPtoB-E3_ubiq	126
968	AvrPtoB_bdg	91
969	AvrRpt-cleavage	37
970	Av_adeno_fibre	139
971	AWPM-19	142
972	AXE1	317
973	AXH	116
974	AXIN1_TNKS_BD	72
975	Axin_b-cat_bind	44
976	Ax_dynein_light	187
977	AzlC	136
978	AzlD	99
979	AZUL	59
980	A_amylase_inhib	68
981	A_deamin	325
982	A_deaminase	328
983	A_deaminase_N	95
984	A_thal_3526	53
985	B	53
986	B-block_TFIIIC	75
987	B1	69
988	B12-binding	121
989	B12-binding_2	75
990	B12D	69
991	B2	73
992	B2-adapt-app_C	112
993	B277	277
994	B3	101
995	B3R	123
996	B3_4	174
997	B5	67
998	B56	413
999	B9-C2	168
1000	BA14K	30
1001	BAALC_N	51
1002	BAAT_C	213
1003	Babuvirus_MP	117
1004	BacA	256
1005	Bacillus_HBL	177
1006	Bacillus_PapR	48
1007	BACK	103
1008	BACON	53
1009	bact-PGI_C	152
1010	BacteriocIIc_cy	91
1011	Bacteriocin_II	35
1012	Bacteriocin_IIc	62
1013	Bacteriocin_IId	67
1014	Bacteriocin_IIi	51
1015	Bacteroid_pep	52
1016	Bactofilin	98
1017	Bact_transglu_N	80
1018	Baculo_11_kDa	84
1019	Baculo_19	143
1020	Baculo_8kDa	65
1021	Baculo_DNA_bind	248
1022	Baculo_E25	190
1023	Baculo_E56	293
1024	Baculo_E66	387
1025	Baculo_F	610
1026	Baculo_FP	214
1027	Baculo_gp41	185
1028	Baculo_gp64	494
1029	Baculo_helicase	1217
1030	Baculo_IE-1	141
1031	Baculo_LEF-10	71
1032	Baculo_LEF-11	93
1033	Baculo_LEF-2	165
1034	Baculo_LEF-3	364
1035	Baculo_LEF5	156
1036	Baculo_LEF5_C	42
1037	Baculo_ME53	330
1038	Baculo_ODV-E27	283
1039	Baculo_p24	182
1040	Baculo_p26	234
1041	Baculo_p33	247
1042	Baculo_p47	306
1043	Baculo_p48	371
1044	Baculo_p74	216
1045	Baculo_p74_N	300
1046	Baculo_PEP_C	140
1047	Baculo_PEP_N	111
1048	Baculo_PP31	272
1049	Baculo_RING	134
1050	Baculo_VP1054	350
1051	Baculo_VP39	307
1052	Baculo_VP91_N	192
1053	Baculo_Y142	440
1054	Bac_chlorC	80
1055	Bac_DnaA	219
1056	Bac_DnaA_C	69
1057	Bac_DNA_binding	90
1058	Bac_export_1	230
1059	Bac_export_2	330
1060	Bac_export_3	74
1061	Bac_GDH	1531
1062	Bac_globin	121
1063	Bac_luciferase	314
1064	Bac_rhamnosid	102
1065	Bac_rhamnosid6H	340
1066	Bac_rhamnosid_C	78
1067	Bac_rhamnosid_N	172
1068	Bac_rhodopsin	223
1069	Bac_small_YrzI	45
1070	Bac_surface_Ag	324
1071	Bac_thur_toxin	230
1072	Bac_transf	184
1073	BAF	88
1074	BAF1_ABF1	494
1075	BAF250_C	251
1076	BaffR-Tall_bind	30
1077	BAG	75
1078	BAGE	28
1079	BAH	122
1080	BALF1	182
1081	BAMBI	107
1082	BamHI	157
1083	Band_3_cyto	268
1084	Band_7	178
1085	Band_7_1	211
1086	Band_7_C	63
1087	BAP	74
1088	Bap31	200
1089	BAR	239
1090	Barstar	79
1091	Barttin	220
1092	Barwin	119
1093	BAR_2	289
1094	BAR_3	238
1095	BAR_3_WASP_bdg	236
1096	Baseplate	165
1097	Baseplate_J	255
1098	Basic	83
1099	BASP1	238
1100	BAT	156
1101	BAT2_N	193
1102	BatA	77
1103	BatD	480
1104	BATS	86
1105	Bax1-I	207
1106	BaxI_1	232
1107	BBE	46
1108	BBIP10	64
1109	BBL5	333
1110	BBP1_C	192
1111	BBP1_N	152
1112	BBP2	348
1113	BBP2_2	379
1114	BBP7	349
1115	BBS1	255
1116	BBS2_C	432
1117	BBS2_Mid	108
1118	BBS2_N	105
1119	BC10	65
1120	BCAS2	206
1121	BCAS3	240
1122	BCA_ABC_TP_C	23
1123	BCCT	485
1124	BCD	268
1125	BCDHK_Adom3	162
1126	BCHF	139
1127	BChl_A	353
1128	BCIP	209
1129	Bcl-2	100
1130	bcl-2I13	155
1131	Bcl-2_3	126
1132	Bcl-2_BAD	166
1133	BCL9	39
1134	BCLP	184
1135	Bclt	195
1136	Bclx_interact	39
1137	BCL_N	49
1138	BCMA-Tall_bind	37
1139	BCNT	75
1140	BCOR	218
1141	Bcr-Abl_Oligo	73
1142	BcrAD_BadFG	267
1143	BCS1_N	187
1144	BcsB	606
1145	BCSC_C	339
1146	Bd3614-deam	136
1147	Bd3614_N	92
1148	BDHCT	40
