	name	GA
142	AAA_lid_5	22.7
143	AAA_lid_6	24.3
144	AAA_lid_7	22.7
145	AAA_lid_8	22.7
146	AAA_lid_9	22.8
147	AAA_PrkA	19.7
148	AadA_C	27.0
149	AalphaY_MDB	25.0
150	AAL_decarboxy	25.0
151	AAR2	23.6
152	AARP2CN	23.8
153	AAT	23.2
154	AATase	21.1
155	AATF-Che1	24.7
156	AA_kinase	24.9
157	AA_permease	22.6
158	AA_permease_2	27.0
159	AA_permease_C	27.0
160	AA_permease_N	21.0
161	AA_synth	21.8
162	Aa_trans	25.6
163	ABATE	24.4
164	ABA_GPCR	22.1
165	ABA_WDS	25.0
166	AbbA_antirepres	27.0
167	ABC-3	20.1
168	ABC1	20.6
169	ABC2_membrane	26.9
170	ABC2_membrane_2	26.8
171	ABC2_membrane_3	31.6
172	ABC2_membrane_4	27.0
173	ABC2_membrane_5	24.7
174	ABC2_membrane_6	22.0
175	ABC_ATPase	19.3
176	ABC_cobalt	23.8
177	ABC_export	29.7
178	ABC_membrane	28.0
179	ABC_membrane_2	24.4
180	ABC_membrane_3	27.0
181	ABC_sub_bind	24.0
182	ABC_tran	25.0
183	ABC_transp_aux	34.7
184	ABC_trans_aux	21.0
185	ABC_trans_CmpB	25.9
186	ABC_trans_N	25.4
187	ABC_tran_2	25.7
188	ABC_tran_CTD	32.0
189	ABC_tran_Xtn	24.7
190	Abdominal-A	25.0
191	AbfB	21.3
192	AbfS_sensor	26.0
193	ABG_transport	19.6
194	Abhydrolase_1	25.8
195	Abhydrolase_2	23.0
196	Abhydrolase_3	21.5
197	Abhydrolase_4	21.0
198	Abhydrolase_5	27.0
199	Abhydrolase_6	26.3
200	Abhydrolase_7	20.7
201	Abhydrolase_8	20.5
202	Abhydrolase_9	26.0
203	Abhydrolase_9_N	27.0
204	Abhydro_lipase	21.5
205	AbiEii	22.3
206	AbiEi_1	22.2
207	AbiEi_2	20.1
208	AbiEi_3	26.0
209	AbiEi_3_N	26.0
210	AbiEi_4	25.0
211	AbiGi	22.4
212	AbiGii_2	25.0
213	AbiH	25.2
214	AbiJ_NTD3	32.5
215	AbiJ_NTD4	34.0
216	AbiJ_NTD5	26.7
217	AbiTii	27.6
218	Abi_2	21.4
219	Abi_C	24.0
220	Abi_HHR	19.6
221	AbLIM_anchor	29.0
222	ABM	23.1
223	Abp2	25.0
224	AbrB	28.2
225	AbrB-like	25.0
226	AbrB_C	22.8
227	Ac110_PIF	25.0
228	Ac76	22.5
229	Ac81	25.0
230	ACAS_N	27.0
231	Acatn	23.7
232	ACBP	28.3
233	ACCA	21.3
234	ACC_central	23.2
235	ACC_epsilon	25.0
236	ACD	27.0
237	ACDC	25.0
238	AceK	22.2
239	Acetate_kinase	22.0
240	AcetDehyd-dimer	26.6
241	Acetone_carb_G	20.8
242	AcetylCoA_hydro	20.7
243	AcetylCoA_hyd_C	23.3
244	Acetyltransf_1	20.7
245	Acetyltransf_10	23.6
246	Acetyltransf_11	24.5
247	Acetyltransf_13	22.8
248	Acetyltransf_14	22.6
249	Acetyltransf_15	35.0
250	Acetyltransf_16	21.2
251	Acetyltransf_17	25.0
252	Acetyltransf_18	22.7
253	Acetyltransf_19	23.8
254	Acetyltransf_2	22.8
255	Acetyltransf_3	25.4
256	Acetyltransf_4	24.3
257	Acetyltransf_5	22.4
258	Acetyltransf_6	22.0
259	Acetyltransf_7	27.0
260	Acetyltransf_8	27.0
261	Acetyltransf_9	25.0
262	Acetyltransf_CG	30.0
263	AChE_tetra	25.0
264	ACI44	27.0
265	Acid_phosphat_B	27.0
266	Acid_PPase	27.0
267	AcMNPV_Ac109	25.0
268	Aconitase	25.7
269	Aconitase_2_N	20.5
270	Aconitase_B_N	25.8
271	Aconitase_C	22.8
272	ACOX	21.9
273	ACP	25.1
274	Acp26Ab	25.0
275	ACP53EA	25.0
276	ACPS	21.1
277	ACP_PD	21.5
278	ACP_syn_III	20.6
279	ACP_syn_III_C	26.6
280	AcrZ	25.0
281	ACR_tran	28.0
282	ACT	27.0
283	Act-Frag_cataly	24.0
284	ActA	23.8
285	ACTH_assoc	27.0
286	ACTH_domain	27.0
287	Actin	20.9
288	Actino_peptide	25.0
289	Actin_micro	27.0
290	Activator-TraM	24.4
291	Activator_LAG-3	23.3
292	Activin_recp	20.9
293	ACTL7A_N	27.0
294	ACT_3	25.0
295	ACT_4	27.0
296	ACT_5	27.0
297	ACT_6	23.0
298	ACT_7	27.0
299	acVLRF1	27.1
300	Acyl-ACP_TE	20.3
301	Acyl-CoA_dh_1	22.4
302	Acyl-CoA_dh_2	22.3
303	Acyl-CoA_dh_C	30.3
304	Acyl-CoA_dh_M	33.3
305	Acyl-CoA_dh_N	22.7
306	Acyl-CoA_ox_N	25.0
307	Acyl-thio_N	22.0
308	AcylCoA_dehyd_C	19.8
309	AcylCoA_DH_N	21.2
310	Acylphosphatase	22.5
311	Acyltransferase	21.1
312	Acyltransf_C	26.5
313	Acyl_CoA_thio	20.7
314	Acyl_transf_1	32.7
315	Acyl_transf_2	20.3
316	Acyl_transf_3	31.0
317	AC_N	30.9
318	AD	23.4
319	Ada3	24.5
320	ADAM17_MPD	26.2
321	ADAM_CR	23.1
322	ADAM_CR_2	23.6
323	ADAM_spacer1	34.5
324	Adaptin_binding	32.0
325	Adaptin_N	37.0
326	Adap_comp_sub	31.6
327	Ada_Zn_binding	20.9
328	ADC	29.8
329	ADD_ATRX	25.7
330	ADD_DNMT3	26.0
331	Adenine_deam_C	27.0
332	Adenine_glyco	25.0
333	Adenosine_kin	25.0
334	Adeno_100	25.0
335	Adeno_52K	25.0
336	Adeno_E1A	24.9
337	Adeno_E1B_19K	25.0
338	Adeno_E1B_55K	22.0
339	Adeno_E1B_55K_N	25.0
340	Adeno_E3	25.0
341	Adeno_E3A	25.2
342	Adeno_E3B	25.0
343	Adeno_E3_14_5	23.6
344	Adeno_E3_15_3	25.0
345	Adeno_E3_CR1	26.0
346	Adeno_E3_CR2	26.2
347	Adeno_E4	25.0
348	Adeno_E4_34	25.0
349	Adeno_E4_ORF3	25.0
350	Adeno_GP19K	20.5
351	Adeno_hexon	19.0
352	Adeno_hexon_C	21.4
353	Adeno_IVa2	20.1
354	Adeno_knob	25.0
355	Adeno_Penton_B	25.0
356	Adeno_PIX	22.9
357	Adeno_PV	23.3
358	Adeno_PVIII	25.0
359	Adeno_PX	25.0
360	Adeno_shaft	31.5
361	Adeno_terminal	20.6
362	Adeno_VII	21.2
363	AdenylateSensor	27.1
364	Adenylate_cycl	21.8
365	Adenylsucc_synt	20.4
366	Adenyl_cycl_N	21.6
367	Adenyl_transf	20.6
368	AdHead_fibreRBD	27.0
369	Adhes-Ig_like	25.0
370	Adhesin_Dr	20.6
371	Adhesin_E	27.0
372	Adhesin_P1	25.0
373	Adhesin_P1_N	26.3
374	ADH_N	21.1
375	ADH_N_2	31.0
376	ADH_N_assoc	25.0
377	adh_short	26.6
378	adh_short_C2	27.0
379	ADH_zinc_N	31.8
380	ADH_zinc_N_2	27.0
381	ADIP	34.3
382	Adipogenin	27.0
383	Adipokin_hormo	22.9
384	ADK	26.8
385	ADK_lid	26.6
386	AdoHcyase	25.0
387	AdoHcyase_NAD	21.7
388	AdoMetDC_leader	25.0
389	AdoMet_dc	25.0
390	AdoMet_MTase	20.2
391	AdoMet_Synthase	27.0
392	ADPrib_exo_Tox	23.4
393	ADPRTs_Tse2	26.6
394	ADP_PFK_GK	20.9
395	ADP_ribosyl_GH	26.2
396	ADSL_C	30.1
397	Ad_cyc_g-alpha	20.1
398	Ad_Cy_reg	27.0
399	Aegerolysin	20.6
400	AEP1	27.0
401	Aerolysin	24.3
402	AF-4	29.9
403	AF0941-like	22.6
404	AF2331-like	150.0
405	AfaD	21.5
406	Afaf	27.0
407	AFG1_ATPase	20.2
408	Afi1	25.5
409	AflR	20.8
410	AFOR_C	19.9
411	AFOR_N	29.8
412	AFP	36.5
413	AFP_2	25.0
414	AfsA	21.3
415	AFT	21.6
416	Aft1_HRA	25.0
417	Aft1_HRR	25.0
418	Aft1_OSA	21.6
419	AftA_C	25.0
420	AftA_N	26.7
421	Ag332	20.7
422	AGA2	25.0
423	Agarase_CBM	26.3
424	Agenet	27.0
425	Agglutinin	25.0
426	Agglutinin_C	26.8
427	AGH	27.0
428	AgI_II_C2	27.1
429	AglB_L1	23.6
430	AGOG	26.1
431	Agouti	21.8
432	Ago_hook	21.0
433	AGO_N	25.0
434	Ago_N_1	25.0
435	Ago_PAZ	27.0
436	AGP	25.0
437	aGPT-Pplase1	25.0
438	aGPT-Pplase2	26.2
439	aGPT-Pplase3	25.0
440	AgrB	23.0
441	AgrD	22.7
442	Agro_virD5	25.0
443	AGS_C	26.7
444	AGT	25.0
445	AGTRAP	25.0
446	Aha1_N	22.5
447	AHD	23.1
448	AHH	22.2
449	AHJR-like	26.1
450	AHL_synthase	25.0
451	AhpC-TSA	21.6
452	AhpC-TSA_2	27.0
453	AHSA1	22.0
454	AHSP	20.5
455	AI-2E_transport	27.2
456	AIB	27.0
457	AICARFT_IMPCHas	25.0
458	AID	41.0
459	AIDA	27.0
460	Aida_C2	25.0
461	Aida_N	25.0
462	AidB_N	22.9
463	AIF-MLS	29.9
464	AIF_C	25.9
465	AIG1	27.0
466	AIG2_2	27.0
467	Ail_Lom	20.8
468	Aim19	28.3
469	Aim21	18.9
470	AIM24	22.8
471	AIM3	25.4
472	AIM5	26.8
473	AIMP2_LysRS_bd	27.0
474	AIP3	28.2
475	AIPR	25.0
476	AIRC	29.8
477	AIRS	24.0
478	AIRS_C	23.1
479	AJAP1_PANP_C	27.0
480	AKAP28	21.6
481	AKAP2_C	27.0
482	AKAP7_NLS	24.4
483	AKAP7_RIRII_bdg	22.7
484	AKAP95	25.6
485	AKAP_110	25.0
486	AKNA	28.1
487	ALAD	22.4
488	AlaDh_PNT_C	23.0
489	AlaDh_PNT_N	30.1
490	AlaE	25.0
491	Alanine_zipper	23.0
492	Ala_racemase_C	25.0
493	Ala_racemase_N	24.1
494	Alb1	20.4
495	Alba	22.5
496	AlbA_2	25.3
497	Albumin_I	20.2
498	Albumin_I_a	23.4
499	ALC	25.0
500	AlcCBM31	25.0
501	Aldedh	23.0
502	Aldolase	27.8
503	Aldolase_II	22.0
504	Aldose_epim	21.8
505	Aldo_ket_red	23.0
506	Ald_deCOase	21.6
507	Ald_Xan_dh_C	31.3
508	Ald_Xan_dh_C2	21.5
509	ALF	25.4
510	Alfin	21.0
511	ALG11_N	24.5
512	Alg14	20.9
513	ALG3	23.6
514	Alg6_Alg8	25.0
515	AlgF	30.2
516	Alginate_exp	25.2
517	Alginate_lyase	21.6
518	Alginate_lyase2	29.7
519	ALGX	26.5
520	ALIX_LYPXL_bnd	29.8
521	AlkA_N	26.0
522	Alkyl_sulf_C	27.0
523	Alkyl_sulf_dimr	26.0
524	Alk_phosphatase	24.4
525	Allantoicase	21.6
526	Allatostatin	33.5
527	Allene_ox_cyc	31.2
528	Allexi_40kDa	24.9
529	Alliinase_C	22.0
530	ALMS_motif	27.0
531	ALMS_repeat	30.0
532	ALMT	20.6
533	ALO	23.1
534	Alpha-2-MRAP_C	23.9
535	Alpha-2-MRAP_N	28.8
536	Alpha-amylase	20.8
537	Alpha-amylase_C	21.2
538	Alpha-amylase_N	21.2
539	Alpha-amyl_C	21.1
540	Alpha-amyl_C2	20.1
541	Alpha-E	20.8
542	alpha-hel2	25.0
543	Alpha-L-AF_C	21.8
544	Alpha-mann_mid	31.1
545	AlphaC_C	25.0
546	AlphaC_N	25.0
547	Alpha_adaptinC2	27.3
548	Alpha_adaptin_C	25.4
549	Alpha_E1_glycop	25.0
550	Alpha_E2_glycop	19.5
551	Alpha_E3_glycop	25.0
552	Alpha_GJ	21.0
553	Alpha_Helical	32.4
554	Alpha_kinase	21.3
555	Alpha_L_fucos	25.2
556	Alpha_TIF	25.0
557	Alph_Pro_TM	24.5
558	ALP_N	26.3
559	ALS2CR11	27.0
560	ALS2CR8	28.9
561	ALS_ss_C	23.2
562	AltA1	27.5
563	Alveol-reg_P311	25.0
564	AMA-1	21.0
565	Amastin	27.2
566	Amb_V_allergen	25.0
567	Amdase	25.9
568	Amdo_NSP	25.0
569	Amelin	25.0
570	Amelogenin	22.1
571	Amelotin	27.0
572	amfpi-1	25.0
573	AMH_N	22.1
574	Amidase	20.1
575	Amidase02_C	28.2
576	Amidase_2	21.1
577	Amidase_3	21.1
578	Amidase_5	20.4
579	Amidase_6	21.7
580	Amidinotransf	23.9
581	Amidohydro_1	21.6
582	Amidohydro_2	26.2
583	Amidohydro_3	29.7
584	Amidoligase_2	21.4
585	Amido_AtzD_TrzD	25.0
586	AMIN	20.5
587	Aminoglyc_resit	21.0
588	Aminopep	25.0
589	Aminotran_1_2	19.7
590	Aminotran_3	28.3
591	Aminotran_4	28.5
592	Aminotran_5	21.5
593	Aminotran_MocR	20.5
594	Amino_oxidase	19.8
595	AmiS_UreI	25.0
596	Amj	20.4
597	AMMECR1	25.0
598	Ammonium_transp	23.2
599	Amnionless	30.4
600	AMNp_N	20.9
601	AMO	27.5
602	AmoC	25.0
603	AMOP	25.0
604	AMP-binding	29.8
605	AMP-binding_C	24.5
606	AMP-binding_C_2	25.0
607	AmpE	21.0
608	AMPK1_CBM	26.8
609	AMPKBI	24.3
610	AMP_N	24.2
611	ANAPC1	25.0
612	ANAPC10	19.9
613	ANAPC15	27.0
614	ANAPC16	25.0
615	ANAPC2	20.3
616	ANAPC3	27.2
617	ANAPC4	23.0
618	ANAPC4_WD40	22.9
619	ANAPC5	23.0
620	ANAPC8	23.6
621	ANAPC9	25.0
622	ANAPC_CDC26	24.5
623	ANATO	21.4
624	Androgen_recep	23.5
625	Anemone_cytotox	25.0
626	AnfG_VnfG	27.0
627	AnfO_nitrog	30.3
628	ANF_receptor	25.4
629	Angiomotin_C	23.5
630	Anillin	21.5
631	Anillin_N	27.0
632	Ank	21.1
633	ANKH	20.7
634	AnkUBD	26.1
635	Ank_2	27.3
636	Ank_3	22.3
637	Ank_4	22.7
638	Ank_5	27.0
639	AnmK	24.0
640	Annexin	21.2
641	Annexin_like	25.0
642	Anoctamin	28.0
643	Anoct_dimer	29.3
644	Anophelin	25.0
645	ANP	21.2
646	Anp1	28.8
647	ANT	25.3
648	AntA	20.5
649	ANTAR	27.3
650	ANTH	21.5
651	Anthrax-tox_M	25.0
652	Anthrax_toxA	25.0
653	Anth_Ig	26.9
654	Anth_synt_I_N	21.0
655	Anti-adapt_IraP	23.2
656	Anti-TRAP	32.0
657	Antibiotic_NAT	25.0
658	Anticodon_1	25.1
659	Antifungal_pept	21.0
660	Antifungal_prot	25.0
661	Antigen_Bd37	25.0
662	Antigen_C	29.5
663	Antig_Caf1	25.0
664	Antimicrobial10	25.0
665	Antimicrobial11	25.0
666	Antimicrobial12	21.1
667	Antimicrobial13	25.0
668	Antimicrobial14	21.0
669	Antimicrobial15	22.7
670	Antimicrobial17	25.0
671	Antimicrobial18	25.0
672	Antimicrobial19	19.4
673	Antimicrobial20	20.6
674	Antimicrobial21	27.0
675	Antimicrobial22	27.0
676	Antimicrobial23	25.0
677	Antimicrobial24	26.0
678	Antimicrobial25	27.0
679	Antimicrobial_1	21.2
680	Antimicrobial_2	20.9
681	Antimicrobial_3	25.0
682	Antimicrobial_4	25.0
683	Antimicrobial_5	25.0
684	Antimicrobial_6	25.0
685	Antimicrobial_7	25.0
686	Antimicrobial_8	21.4
687	Antimicrobial_9	25.0
688	Antirestrict	25.0
689	Antistasin	21.2
690	Antiterm	26.7
691	Ant_C	25.0
692	ANXA2R	27.0
693	An_peroxidase	25.0
694	AOC_like	25.9
695	AOX	22.5
696	AP-5_subunit_s1	30.7
697	AP1AR	27.0
698	AP2	20.6
699	AP3B1_C	27.0
700	AP3D1	26.4
701	AP4E_app_platf	27.0
702	APA3_viroporin	20.2
703	APAF1_C	22.8
704	ApbA	22.2
705	ApbA_C	22.7
706	ApbE	22.7
707	Apc13p	21.5
708	Apc15p	25.0
709	APC1_C	22.9
710	APCDDC	27.0
711	APC_15aa	19.4
712	APC_basic	25.0
713	APC_N_CC	26.7
714	APC_r	19.9
715	APC_rep	27.0
716	APC_u13	26.0
717	APC_u14	29.7
718	APC_u15	27.5
719	APC_u5	27.0
720	APC_u9	25.0
721	ApeA_NTD1	26.8
722	ApeC	26.5
723	Apelin	27.0
724	APG12	22.8
725	APG17	27.7
726	APG5	21.1
727	APG6	34.0
728	APG6_N	45.0
729	APG9	21.7
730	APH	23.2
731	Aph-1	25.6
732	AphA_like	27.0
733	APH_6_hur	20.4
734	API5	24.3
735	Apidaecin	23.1
736	Apis_Csd	25.0
737	Apo-CII	22.1
738	Apo-CIII	28.3
739	Apo-VLDL-II	23.4
740	ApoA-II	27.0
741	ApoB100_C	21.2
742	APOBEC1	27.0
743	APOBEC2	26.8
744	APOBEC3	27.0
745	APOBEC4	27.2
746	APOBEC4_like	26.7
747	APOBEC_C	23.5
748	APOBEC_N	21.7
749	ApoC-I	27.6
750	APOC4	27.0
751	Apocytochr_F_C	29.8
752	Apocytochr_F_N	30.0
753	ApoL	25.9
754	Apolipoprotein	90.0
755	Apolipo_F	27.0
756	ApoLp-III	35.0
757	ApoM	21.8
758	ApoO	31.3
759	APO_RNA-bind	25.0
760	APP_amyloid	19.9
761	APP_Cu_bd	26.4
762	APP_E2	21.9
763	APP_N	22.1
764	Apq12	25.0
765	APS-reductase_C	25.0
766	APS_kinase	21.1
767	APT	25.0
768	Apt1	26.7
769	Apyrase	21.5
770	AP_endonuc_2	31.1
771	AP_endonuc_2_N	21.3
772	Aquarius_N	30.2
773	ARA70	22.1
774	ArabFuran-catal	25.0
775	Arabinose_bd	26.1
776	Arabinose_Isome	29.4
777	Arabinose_Iso_C	25.0
778	Arabinose_trans	25.0
779	Arabino_trans_C	25.0
780	Arabino_trans_N	25.0
781	AraC_binding	21.1
782	AraC_binding_2	27.0
783	AraC_N	24.2
784	ArAE_1	21.8
785	ArAE_1_C	22.1
786	ArAE_2	24.7
787	ArAE_2_N	23.5
788	Arb1	25.0
789	Arb2	26.6
790	Arc	20.4
791	Arcadin_1	25.0
792	Archaeal_AmoA	25.6
793	Archease	25.0
794	Arch_flagellin	29.5
795	Arch_fla_DE	20.8
796	Arc_C	31.9
797	Arc_PepC	23.4
798	Arc_PepC_II	29.9
799	Arc_trans_TRASH	20.8
800	ARD	21.0
801	ArdA	24.8
802	AreA_N	21.5
803	ArenaCapSnatch	27.0
804	Arena_glycoprot	25.0
805	Arena_ncap_C	27.0
806	Arena_nucleocap	27.2
807	Arena_RNA_pol	25.0
808	Arf	22.3
809	ARF7EP_C	27.0
810	ArfA	25.5
811	Arfaptin	32.0
812	ArfGap	28.5
813	Arginase	22.0
814	Arginosuc_synth	21.0
815	ArgJ	32.0
816	ARGLU	27.0
817	ArgoL1	20.9
818	ArgoL2	27.4
819	ArgoMid	27.5
820	ArgoN	30.7
821	Argos	25.0
822	Arg_decarbox_C	23.3
823	Arg_decarb_HB	23.3
824	Arg_repressor	21.0
825	Arg_repressor_C	25.0
826	Arg_tRNA_synt_N	21.3
827	ARHGEF5_35	27.0
828	ARID	24.1
829	Arif-1	21.1
830	ARL17	27.0
831	ARL2_Bind_BART	23.0
832	ARL6IP6	27.0
833	ArlS_N	24.4
834	Arm	20.6
835	Arm-DNA-bind_1	21.8
836	Arm-DNA-bind_2	21.9
837	Arm-DNA-bind_3	27.0
838	Arm-DNA-bind_4	22.1
839	Arm-DNA-bind_5	22.6
840	Armet	23.2
841	Arm_2	20.4
842	Arm_3	28.8
843	Arm_APC_u3	25.0
844	Arm_vescicular	33.0
845	ArnB_C	26.3
846	Arnt_C	26.5
847	AroM	23.8
848	Aromatic_hydrox	21.8
849	AROS	27.0
850	ARPC4	22.2
851	Arr-ms	25.0
852	Arrestin_C	27.6
853	Arrestin_N	24.1
854	ARS2	30.0
855	ArsA_ATPase	24.3
856	ArsA_HSP20	22.5
857	ArsB	22.2
858	ArsC	21.0
859	ArsD	20.7
860	ArsP_1	31.4
861	ArsP_2	32.5
862	ArsR	28.6
863	ART	22.3
864	ART-PolyVal	28.2
865	ARTD15_N	26.3
866	Arteri_env	21.2
867	Arteri_Gl	24.9
868	Arteri_GP4	20.7
869	Arteri_nsp7a	27.0
870	Arteri_nucleo	22.1
871	Arv1	20.0
872	Arylesterase	21.3
873	Arylsulfotrans	24.2
874	Arylsulfotran_2	27.0
875	Arylsulfotran_N	24.2
876	ASC	23.6
877	ASCH	21.2
878	ASD1	25.0
879	ASD2	26.3
880	ASF1_hist_chap	20.7
881	ASFV_360	22.5
882	ASFV_J13L	23.6
883	ASFV_L11L	25.0
884	ASFV_p27	25.4
885	ASH	27.0
886	Ashwin	27.0
887	AsiA	25.0
888	ASL_C	35.0
889	ASL_C2	27.3
890	AsmA	29.8
891	AsmA_1	22.5
892	AsmA_2	27.1
893	AsnA	21.8
894	AsnC_trans_reg	25.0
895	AsnC_trans_reg2	27.0
896	Asn_synthase	20.3
897	Asp	19.9
898	Asp-Al_Ex	27.0
899	Asp-B-Hydro_N	21.9
900	Asp1	26.0
901	Asp2	28.0
902	Asp23	28.0
903	Asp4	25.7
904	Asp5	25.0
905	Asparaginase	22.5
906	Asparaginase_2	19.4
907	Asparaginase_C	34.6
908	Asparaginase_II	25.0
909	ASPRs	26.3
910	Aspzincin_M35	30.0
911	Asp_Arg_Hydrox	22.6
912	Asp_decarbox	25.0
913	Asp_Glu_race	28.1
914	Asp_Glu_race_2	26.3
915	Asp_protease	20.6
916	Asp_protease_2	24.3
917	Asr	21.0
918	ASRT	25.0
919	AstA	29.4
920	Astacin	22.5
921	AstB	20.1
922	AstE_AspA	21.9
923	ASTN_2_hairpin	35.5
924	Astro_capsid_N	21.0
925	Astro_capsid_p	25.0
926	Astro_capsid_p2	25.0
927	ASXH	25.8
928	ATAD4	25.0
929	ATC_hydrolase	26.4
930	ATE_C	25.0
931	ATE_N	21.1
932	ATF7IP_BD	25.0
933	ATG101	26.5
934	ATG11	22.0
935	ATG13	25.0
936	Atg14	32.2
937	ATG16	32.8
938	ATG19_autophagy	25.0
939	ATG22	24.1
940	ATG27	27.0
941	Atg29_N	25.7
942	ATG2_CAD	21.7
943	Atg31	25.0
944	ATG7_N	27.0
945	Atg8	21.0
946	ATG_C	29.4
947	ATHILA	19.5
948	ATLF	21.9
949	ATP-cone	22.5
950	ATP-grasp	20.5
951	ATP-grasp_2	29.0
952	ATP-grasp_3	23.2
953	ATP-grasp_4	27.0
954	ATP-grasp_5	27.6
955	ATP-grasp_6	25.0
956	ATP-gua_Ptrans	22.4
957	ATP-gua_PtransN	25.7
958	ATP-sulfurylase	23.4
959	ATP-synt	22.2
960	ATP-synt_10	22.1
961	ATP-synt_8	22.9
962	ATP-synt_A	33.9
963	ATP-synt_ab	29.5
964	ATP-synt_ab_C	21.4
965	ATP-synt_ab_N	20.9
966	ATP-synt_ab_Xtn	26.9
967	ATP-synt_B	26.9
968	ATP-synt_C	24.0
969	ATP-synt_D	25.7
970	ATP-synt_DE	24.6
971	ATP-synt_DE_N	20.1
972	ATP-synt_E	21.8
973	ATP-synt_Eps	20.5
974	ATP-synt_E_2	25.0
975	ATP-synt_F	23.5
976	ATP-synt_F6	27.9
977	ATP-synt_G	25.0
978	ATP-synt_I	24.3
979	ATP-synt_J	20.7
980	ATP-synt_S1	45.0
981	ATP-synt_Z	25.0
982	ATP11	22.0
983	ATP12	20.5
984	ATP13	26.7
985	ATP19	20.4
986	ATP1G1_PLM_MAT8	21.2
987	ATPase	26.6
988	ATPase-cat_bd	27.0
