,sim_dom1,sim_dom2
231,S1,Rep_fac-A_C
232,S1,Ribosomal_S17
233,S1,Rrp44_CSD1
234,S1,DNA_ligase_A_C
235,S1,Ribosomal_S28e
236,S1,Ribosomal_L2
237,S1,tRNA_anti-codon
238,S1,MCM_OB
239,S1,Rrp44_S1
240,S1,SSB
241,SSB,POT1
242,SSB,OB_NTP_bind
243,SSB,Rep-A_N
244,SSB,Rep_fac-A_C
245,SSB,Ribosomal_S17
246,SSB,CSD
247,SSB,Rrp44_CSD1
248,SSB,DNA_ligase_A_C
249,SSB,Ribosomal_S28e
250,SSB,Ribosomal_L2
251,SSB,tRNA_anti-codon
252,SSB,MCM_OB
253,SSB,Rrp44_S1
254,POT1,OB_NTP_bind
255,POT1,Rep-A_N
256,POT1,Rep_fac-A_C
257,POT1,Ribosomal_S17
258,POT1,CSD
259,POT1,Rrp44_CSD1
260,POT1,DNA_ligase_A_C
261,POT1,Ribosomal_S28e
262,POT1,Ribosomal_L2
263,POT1,tRNA_anti-codon
264,POT1,MCM_OB
265,POT1,Rrp44_S1
266,OB_NTP_bind,Rep-A_N
267,OB_NTP_bind,Rep_fac-A_C
268,OB_NTP_bind,Ribosomal_S17
269,OB_NTP_bind,Rrp44_CSD1
270,OB_NTP_bind,DNA_ligase_A_C
271,OB_NTP_bind,Ribosomal_S28e
272,OB_NTP_bind,Ribosomal_L2
273,OB_NTP_bind,tRNA_anti-codon
274,OB_NTP_bind,MCM_OB
275,OB_NTP_bind,Rrp44_S1
276,Rep-A_N,Rep_fac-A_C
277,Rep-A_N,Ribosomal_S17
278,Rep-A_N,CSD
279,Rep-A_N,Rrp44_CSD1
280,Rep-A_N,DNA_ligase_A_C
281,Rep-A_N,Ribosomal_S28e
282,Rep-A_N,Ribosomal_L2
283,Rep-A_N,tRNA_anti-codon
284,Rep-A_N,MCM_OB
285,Rep-A_N,Rrp44_S1
286,Rep_fac-A_C,Ribosomal_S17
287,Rep_fac-A_C,CSD
288,Rep_fac-A_C,Rrp44_CSD1
289,Rep_fac-A_C,DNA_ligase_A_C
290,Rep_fac-A_C,Ribosomal_S28e
291,Rep_fac-A_C,Ribosomal_L2
292,Rep_fac-A_C,tRNA_anti-codon
293,Rep_fac-A_C,MCM_OB
294,Rep_fac-A_C,Rrp44_S1
295,Ribosomal_S17,CSD
296,Ribosomal_S17,Rrp44_CSD1
297,Ribosomal_S17,DNA_ligase_A_C
298,Ribosomal_S17,Ribosomal_S28e
299,Ribosomal_S17,Ribosomal_L2
300,Ribosomal_S17,tRNA_anti-codon
301,Ribosomal_S17,MCM_OB
302,Ribosomal_S17,Rrp44_S1
303,CSD,Rrp44_CSD1
304,CSD,DNA_ligase_A_C
305,CSD,Ribosomal_S28e
306,CSD,Ribosomal_L2
307,CSD,tRNA_anti-codon
308,CSD,MCM_OB
309,CSD,Rrp44_S1
310,Rrp44_CSD1,DNA_ligase_A_C
311,Rrp44_CSD1,Ribosomal_S28e
312,Rrp44_CSD1,Ribosomal_L2
313,Rrp44_CSD1,tRNA_anti-codon
314,Rrp44_CSD1,MCM_OB
315,Rrp44_CSD1,Rrp44_S1
316,DNA_ligase_A_C,Ribosomal_S28e
317,DNA_ligase_A_C,Ribosomal_L2
318,DNA_ligase_A_C,tRNA_anti-codon
319,DNA_ligase_A_C,MCM_OB
320,DNA_ligase_A_C,Rrp44_S1
321,Ribosomal_L2,Ribosomal_S28e
322,Ribosomal_L2,tRNA_anti-codon
323,Ribosomal_L2,MCM_OB
324,Ribosomal_L2,Rrp44_S1
325,tRNA_anti-codon,Ribosomal_S28e
326,tRNA_anti-codon,MCM_OB
327,tRNA_anti-codon,Rrp44_S1
328,MCM_OB,Ribosomal_S28e
329,MCM_OB,Rrp44_S1
330,Rrp44_S1,Ribosomal_S28e
331,Guanylate_kin,IIGP
332,Guanylate_kin,SMC_N
333,Guanylate_kin,ATP-synt_ab
334,Guanylate_kin,ArgK
335,Guanylate_kin,DNA_pol3_delta2
336,Guanylate_kin,Thymidylate_kin
337,Guanylate_kin,Beta-Casp
338,Guanylate_kin,SRP54
339,Guanylate_kin,Helicase_RecD
340,Guanylate_kin,PRK
341,Guanylate_kin,AAA_22
342,Guanylate_kin,AAA_23
343,Guanylate_kin,AAA_21
344,Guanylate_kin,AAA_25
345,Guanylate_kin,AIG1
346,Guanylate_kin,TK
347,Guanylate_kin,ArsA_ATPase
348,Guanylate_kin,Adenylsucc_synt
349,Guanylate_kin,6PF2K
350,Guanylate_kin,KTI12
351,Guanylate_kin,AAA_30
352,Guanylate_kin,CoaE
353,Guanylate_kin,cobW
354,Guanylate_kin,ParA
355,Guanylate_kin,ATP_bind_1
356,Guanylate_kin,CTP_synth_N
357,Guanylate_kin,SKI
358,Guanylate_kin,PIF1
359,Guanylate_kin,AAA_2
360,Guanylate_kin,Rad51
361,Guanylate_kin,NB-ARC
362,Guanylate_kin,Helicase_C_2
363,Guanylate_kin,CLP1_P
364,Guanylate_kin,MCM
365,Guanylate_kin,IPPT
366,Guanylate_kin,UvrD_C_2
367,Guanylate_kin,dNK
368,Guanylate_kin,AAA_19
369,Guanylate_kin,TIP49
370,Guanylate_kin,APS_kinase
371,Guanylate_kin,AAA_16
372,SMC_N,IIGP
373,SMC_N,DEAD
374,SMC_N,ATP-synt_ab
375,SMC_N,ArgK
376,SMC_N,DNA_pol3_delta2
377,SMC_N,Thymidylate_kin
378,SMC_N,Beta-Casp
379,SMC_N,SRP54
380,SMC_N,G-alpha
381,SMC_N,SRPRB
382,SMC_N,GTP_EFTU
383,SMC_N,Helicase_RecD
384,SMC_N,PRK
385,SMC_N,AAA_22
386,SMC_N,AAA_23
387,SMC_N,AAA_21
388,SMC_N,AAA_25
389,SMC_N,Kinesin
390,SMC_N,Microtub_bd
391,SMC_N,AIG1
392,SMC_N,TK
393,SMC_N,ArsA_ATPase
394,SMC_N,Adenylsucc_synt
395,SMC_N,6PF2K
396,SMC_N,SNF2_N
397,SMC_N,ResIII
398,SMC_N,ADK
399,SMC_N,Myosin_head
400,SMC_N,Sulfotransfer_3
401,SMC_N,KTI12
402,SMC_N,Sulfotransfer_1
403,SMC_N,MutS_V
404,SMC_N,AAA_30
405,SMC_N,AAA_33
406,SMC_N,Ras
407,SMC_N,CoaE
408,SMC_N,cobW
409,SMC_N,AAA
410,SMC_N,ParA
411,SMC_N,Helicase_C
412,SMC_N,ATP_bind_1
413,SMC_N,CTP_synth_N
414,SMC_N,GBP
415,SMC_N,SKI
416,SMC_N,PIF1
417,SMC_N,AAA_8
418,SMC_N,AAA_2
419,SMC_N,AAA_7
420,SMC_N,AAA_6
421,SMC_N,AAA_5
422,SMC_N,ABC_tran
423,SMC_N,Rad51
424,SMC_N,NB-ARC
425,SMC_N,Helicase_C_2
426,SMC_N,Dynamin_N
427,SMC_N,Arf
428,SMC_N,CLP1_P
429,SMC_N,MMR_HSR1
430,SMC_N,MCM
431,SMC_N,IPPT
432,SMC_N,UvrD_C_2
433,SMC_N,Roc
434,SMC_N,dNK
435,SMC_N,AAA_19
436,SMC_N,AAA_18
437,SMC_N,TIP49
438,SMC_N,AAA_12
439,SMC_N,AAA_11
440,SMC_N,APS_kinase
441,SMC_N,AAA_16
442,DEAD,IIGP
443,DEAD,ATP-synt_ab
444,DEAD,ArgK
445,DEAD,DNA_pol3_delta2
446,DEAD,Thymidylate_kin
447,DEAD,Beta-Casp
448,DEAD,SRP54
449,DEAD,Helicase_RecD
450,DEAD,PRK
451,DEAD,AAA_22
452,DEAD,AAA_23
453,DEAD,AAA_21
454,DEAD,AAA_25
455,DEAD,AIG1
456,DEAD,TK
457,DEAD,ArsA_ATPase
458,DEAD,Adenylsucc_synt
459,DEAD,6PF2K
460,DEAD,KTI12
461,DEAD,AAA_30
462,DEAD,CoaE
463,DEAD,cobW
464,DEAD,ParA
465,DEAD,ATP_bind_1
466,DEAD,CTP_synth_N
467,DEAD,SKI
468,DEAD,PIF1
469,DEAD,AAA_2
470,DEAD,Rad51
471,DEAD,NB-ARC
472,DEAD,Helicase_C_2
473,DEAD,CLP1_P
474,DEAD,MCM
475,DEAD,IPPT
476,DEAD,UvrD_C_2
477,DEAD,dNK
478,DEAD,AAA_19
479,DEAD,TIP49
480,DEAD,APS_kinase
481,DEAD,AAA_16
482,ArgK,IIGP
483,ArgK,ATP-synt_ab
484,ArgK,DNA_pol3_delta2
485,ArgK,Thymidylate_kin
486,ArgK,Beta-Casp
487,ArgK,SRP54
488,ArgK,G-alpha
489,ArgK,SRPRB
490,ArgK,GTP_EFTU
491,ArgK,Helicase_RecD
492,ArgK,PRK
493,ArgK,AAA_22
494,ArgK,AAA_23
495,ArgK,AAA_21
496,ArgK,AAA_25
497,ArgK,Kinesin
498,ArgK,Microtub_bd
499,ArgK,AIG1
500,ArgK,TK
501,ArgK,ArsA_ATPase
502,ArgK,Adenylsucc_synt
503,ArgK,6PF2K
504,ArgK,SNF2_N
505,ArgK,ResIII
506,ArgK,ADK
507,ArgK,Myosin_head
508,ArgK,Sulfotransfer_3
509,ArgK,KTI12
510,ArgK,Sulfotransfer_1
511,ArgK,MutS_V
512,ArgK,AAA_30
513,ArgK,AAA_33
514,ArgK,Ras
515,ArgK,CoaE
516,ArgK,cobW
517,ArgK,AAA
518,ArgK,ParA
519,ArgK,Helicase_C
520,ArgK,ATP_bind_1
521,ArgK,CTP_synth_N
522,ArgK,GBP
523,ArgK,SKI
524,ArgK,PIF1
525,ArgK,AAA_8
526,ArgK,AAA_2
527,ArgK,AAA_7
528,ArgK,AAA_6
529,ArgK,AAA_5
530,ArgK,ABC_tran
531,ArgK,Rad51
532,ArgK,NB-ARC
533,ArgK,Helicase_C_2
534,ArgK,Dynamin_N
535,ArgK,Arf
536,ArgK,CLP1_P
537,ArgK,MMR_HSR1
538,ArgK,MCM
539,ArgK,IPPT
540,ArgK,UvrD_C_2
541,ArgK,Roc
542,ArgK,dNK
543,ArgK,AAA_19
544,ArgK,AAA_18
545,ArgK,TIP49
546,ArgK,AAA_12
547,ArgK,AAA_11
548,ArgK,APS_kinase
549,ArgK,AAA_16
550,PRK,IIGP
551,PRK,ATP-synt_ab
552,PRK,DNA_pol3_delta2
553,PRK,Thymidylate_kin
554,PRK,Beta-Casp
555,PRK,SRP54
556,PRK,G-alpha
557,PRK,SRPRB
558,PRK,GTP_EFTU
559,PRK,Helicase_RecD
560,PRK,AAA_22
561,PRK,AAA_23
562,PRK,AAA_21
563,PRK,AAA_25
564,PRK,Kinesin
565,PRK,Microtub_bd
566,PRK,AIG1
567,PRK,TK
568,PRK,ArsA_ATPase
569,PRK,Adenylsucc_synt
570,PRK,6PF2K
571,PRK,SNF2_N
572,PRK,ResIII
573,PRK,ADK
574,PRK,Myosin_head
575,PRK,Sulfotransfer_3
576,PRK,KTI12
577,PRK,Sulfotransfer_1
578,PRK,MutS_V
579,PRK,AAA_30
580,PRK,AAA_33
581,PRK,Ras
582,PRK,CoaE
583,PRK,cobW
584,PRK,AAA
585,PRK,ParA
586,PRK,Helicase_C
587,PRK,ATP_bind_1
588,PRK,CTP_synth_N
589,PRK,GBP
590,PRK,SKI
591,PRK,PIF1
592,PRK,AAA_8
593,PRK,AAA_2
594,PRK,AAA_7
595,PRK,AAA_6
596,PRK,AAA_5
597,PRK,ABC_tran
598,PRK,Rad51
599,PRK,NB-ARC
600,PRK,Helicase_C_2
601,PRK,Dynamin_N
602,PRK,Arf
603,PRK,CLP1_P
604,PRK,MMR_HSR1
605,PRK,MCM
606,PRK,IPPT
607,PRK,UvrD_C_2
608,PRK,Roc
609,PRK,dNK
610,PRK,AAA_19
611,PRK,AAA_18
612,PRK,TIP49
613,PRK,AAA_12
614,PRK,AAA_11
615,PRK,APS_kinase
616,PRK,AAA_16
617,Sulfotransfer_3,IIGP
618,Sulfotransfer_3,ATP-synt_ab
619,Sulfotransfer_3,DNA_pol3_delta2
620,Sulfotransfer_3,Thymidylate_kin
621,Sulfotransfer_3,Beta-Casp
622,Sulfotransfer_3,SRP54
623,Sulfotransfer_3,Helicase_RecD
624,Sulfotransfer_3,AAA_22
625,Sulfotransfer_3,AAA_23
626,Sulfotransfer_3,AAA_21
627,Sulfotransfer_3,AAA_25
628,Sulfotransfer_3,AIG1
629,Sulfotransfer_3,TK
630,Sulfotransfer_3,ArsA_ATPase
631,Sulfotransfer_3,Adenylsucc_synt
632,Sulfotransfer_3,6PF2K
633,Sulfotransfer_3,KTI12
634,Sulfotransfer_3,AAA_30
635,Sulfotransfer_3,CoaE
636,Sulfotransfer_3,cobW
637,Sulfotransfer_3,ParA
638,Sulfotransfer_3,ATP_bind_1
639,Sulfotransfer_3,CTP_synth_N
640,Sulfotransfer_3,SKI
641,Sulfotransfer_3,PIF1
642,Sulfotransfer_3,AAA_2
643,Sulfotransfer_3,Rad51
644,Sulfotransfer_3,NB-ARC
645,Sulfotransfer_3,Helicase_C_2
646,Sulfotransfer_3,CLP1_P
647,Sulfotransfer_3,MCM
648,Sulfotransfer_3,IPPT
649,Sulfotransfer_3,UvrD_C_2
650,Sulfotransfer_3,dNK
651,Sulfotransfer_3,AAA_19
652,Sulfotransfer_3,TIP49
653,Sulfotransfer_3,APS_kinase
654,Sulfotransfer_3,AAA_16
655,KTI12,IIGP
656,KTI12,ATP-synt_ab
657,KTI12,DNA_pol3_delta2
658,KTI12,Thymidylate_kin
659,KTI12,Beta-Casp
660,KTI12,SRP54
661,KTI12,G-alpha
662,KTI12,SRPRB
663,KTI12,GTP_EFTU
664,KTI12,Helicase_RecD
665,KTI12,AAA_22
666,KTI12,AAA_23
667,KTI12,AAA_21
668,KTI12,AAA_25
669,KTI12,Kinesin
670,KTI12,Microtub_bd
671,KTI12,AIG1
672,KTI12,TK
673,KTI12,ArsA_ATPase
674,KTI12,Adenylsucc_synt
675,KTI12,6PF2K
676,KTI12,SNF2_N
677,KTI12,ResIII
678,KTI12,ADK
679,KTI12,Myosin_head
680,KTI12,Sulfotransfer_1
681,KTI12,MutS_V
682,KTI12,AAA_30
683,KTI12,AAA_33
684,KTI12,Ras
685,KTI12,CoaE
686,KTI12,cobW
687,KTI12,AAA
688,KTI12,ParA
689,KTI12,Helicase_C
690,KTI12,ATP_bind_1
691,KTI12,CTP_synth_N
692,KTI12,GBP
693,KTI12,SKI
694,KTI12,PIF1
695,KTI12,AAA_8
696,KTI12,AAA_2
697,KTI12,AAA_7
698,KTI12,AAA_6
699,KTI12,AAA_5
700,KTI12,ABC_tran
701,KTI12,Rad51
702,KTI12,NB-ARC
703,KTI12,Helicase_C_2
704,KTI12,Dynamin_N
705,KTI12,Arf
706,KTI12,CLP1_P
707,KTI12,MMR_HSR1
708,KTI12,MCM
709,KTI12,IPPT
710,KTI12,UvrD_C_2
711,KTI12,Roc
712,KTI12,dNK
713,KTI12,AAA_19
714,KTI12,AAA_18
715,KTI12,TIP49
716,KTI12,AAA_12
717,KTI12,AAA_11
718,KTI12,APS_kinase
719,KTI12,AAA_16
720,Sulfotransfer_1,IIGP
721,Sulfotransfer_1,ATP-synt_ab
722,Sulfotransfer_1,DNA_pol3_delta2
723,Sulfotransfer_1,Thymidylate_kin
724,Sulfotransfer_1,Beta-Casp
725,Sulfotransfer_1,SRP54
726,Sulfotransfer_1,Helicase_RecD
727,Sulfotransfer_1,AAA_22
728,Sulfotransfer_1,AAA_23
729,Sulfotransfer_1,AAA_21
730,Sulfotransfer_1,AAA_25
731,Sulfotransfer_1,AIG1
732,Sulfotransfer_1,TK
733,Sulfotransfer_1,ArsA_ATPase
734,Sulfotransfer_1,Adenylsucc_synt
735,Sulfotransfer_1,6PF2K
736,Sulfotransfer_1,AAA_30
737,Sulfotransfer_1,CoaE
738,Sulfotransfer_1,cobW
739,Sulfotransfer_1,ParA
740,Sulfotransfer_1,ATP_bind_1
741,Sulfotransfer_1,CTP_synth_N
742,Sulfotransfer_1,SKI
743,Sulfotransfer_1,PIF1
744,Sulfotransfer_1,AAA_2
745,Sulfotransfer_1,Rad51
746,Sulfotransfer_1,NB-ARC
747,Sulfotransfer_1,Helicase_C_2
748,Sulfotransfer_1,CLP1_P
749,Sulfotransfer_1,MCM
750,Sulfotransfer_1,IPPT
751,Sulfotransfer_1,UvrD_C_2
752,Sulfotransfer_1,dNK
753,Sulfotransfer_1,AAA_19
754,Sulfotransfer_1,TIP49
755,Sulfotransfer_1,APS_kinase
756,Sulfotransfer_1,AAA_16
757,Ras,IIGP
758,Ras,ATP-synt_ab
759,Ras,DNA_pol3_delta2
760,Ras,Thymidylate_kin
761,Ras,Beta-Casp
762,Ras,SRP54
763,Ras,Helicase_RecD
764,Ras,AAA_22
765,Ras,AAA_23
766,Ras,AAA_21
767,Ras,AAA_25
768,Ras,AIG1
769,Ras,TK
770,Ras,ArsA_ATPase
771,Ras,Adenylsucc_synt
772,Ras,6PF2K
773,Ras,AAA_30
774,Ras,CoaE
775,Ras,cobW
776,Ras,ParA
777,Ras,ATP_bind_1
778,Ras,CTP_synth_N
779,Ras,SKI
780,Ras,PIF1
781,Ras,AAA_2
782,Ras,Rad51
783,Ras,NB-ARC
784,Ras,Helicase_C_2
785,Ras,CLP1_P
786,Ras,MCM
787,Ras,IPPT
788,Ras,UvrD_C_2
789,Ras,dNK
790,Ras,AAA_19
791,Ras,TIP49
792,Ras,APS_kinase
793,Ras,AAA_16
794,CoaE,IIGP
795,CoaE,ATP-synt_ab
796,CoaE,DNA_pol3_delta2
797,CoaE,Thymidylate_kin
798,CoaE,Beta-Casp
799,CoaE,SRP54
800,CoaE,G-alpha
801,CoaE,SRPRB
802,CoaE,GTP_EFTU
803,CoaE,Helicase_RecD
804,CoaE,AAA_22
805,CoaE,AAA_23
806,CoaE,AAA_21
807,CoaE,AAA_25
808,CoaE,Kinesin
809,CoaE,Microtub_bd
810,CoaE,AIG1
811,CoaE,TK
812,CoaE,ArsA_ATPase
813,CoaE,Adenylsucc_synt
814,CoaE,6PF2K
815,CoaE,SNF2_N
816,CoaE,ResIII
817,CoaE,ADK
818,CoaE,Myosin_head
819,CoaE,MutS_V
820,CoaE,AAA_30
821,CoaE,AAA_33
822,CoaE,cobW
823,CoaE,AAA
824,CoaE,ParA
825,CoaE,Helicase_C
826,CoaE,ATP_bind_1
827,CoaE,CTP_synth_N
828,CoaE,GBP
829,CoaE,SKI
830,CoaE,PIF1
831,CoaE,AAA_8
832,CoaE,AAA_2
833,CoaE,AAA_7
834,CoaE,AAA_6
835,CoaE,AAA_5
836,CoaE,ABC_tran
837,CoaE,Rad51
838,CoaE,NB-ARC
839,CoaE,Helicase_C_2
840,CoaE,Dynamin_N
841,CoaE,Arf
842,CoaE,CLP1_P
843,CoaE,MMR_HSR1
844,CoaE,MCM
845,CoaE,IPPT
846,CoaE,UvrD_C_2
847,CoaE,Roc
848,CoaE,dNK
849,CoaE,AAA_19
850,CoaE,AAA_18
851,CoaE,TIP49
852,CoaE,AAA_12
853,CoaE,AAA_11
854,CoaE,APS_kinase
855,CoaE,AAA_16
856,cobW,IIGP
857,cobW,ATP-synt_ab
858,cobW,DNA_pol3_delta2
859,cobW,Thymidylate_kin
860,cobW,Beta-Casp
861,cobW,SRP54
862,cobW,G-alpha
863,cobW,SRPRB
864,cobW,GTP_EFTU
865,cobW,Helicase_RecD
866,cobW,AAA_22
