	altered_positions	non-altered_positions
Chromo	178	1483
Cir_N	16	95
Clat_adaptor_s	423	1969
Clathrin	417	2110
Clathrin_propel	59	371
Claudin_2	1033	3497
Cnd1	316	1602
Cofilin_ADF	266	1192
Collagen	7261	26870
Complex1_LYR	145	494
Connexin	1027	3530
Cpn60_TCP1	1295	5441
Crystall	780	2464
Cyclin_C	344	1514
Cyclin_N	576	3437
Cys_knot	274	1533
Cys_rich_FGFR	162	702
Cystatin	537	1287
Cyt-b5	165	844
DAGK_cat	323	1386
DCX	208	777
DDE_1	310	1557
DEAD	2095	9401
DENN	508	2422
DEP	356	1401
DHC_N2	1240	5137
DHR-2	1048	4453
DOCK-C2	382	1607
DSPc	1009	3688
DUF1220	310	12108
DUF1986	884	2785
DUF4599	73	884
Death	541	2152
Defensin_beta_2	197	730
Disintegrin	284	1180
DnaJ	460	2213
Dynamin_N	466	1935
Dynein_heavy	2360	8595
E1-E2_ATPase	1450	5733
E2F_TDP	103	765
ECH_1	792	3404
EF-hand_1	929	3998
EF-hand_4	265	1041
EF-hand_5	267	1207
EF-hand_6	547	2176
EF-hand_7	1700	6512
EF-hand_8	581	2462
EF-hand_like	213	818
EGF	3731	13055
EGF_2	1353	4904
EGF_3	512	1384
EGF_CA	3914	12646
ELM2	98	576
EMI	152	423
EMP24_GP25L	326	1632
EPTP	305	1012
EamA	378	1660
EphA2_TM	267	771
Ephrin_lbd	541	1894
Ephrin_rec_like	221	773
Epiglycanin_TR	81	302
Epimerase	638	2299
Ets	283	2048
Exo_endo_phos	429	1904
F-box	475	2206
F-box-like	404	1900
F420_oxidored	204	804
F5_F8_type_C	700	2882
FA	113	454
FAM47	341	1660
FCH	237	1199
FERM_C	405	1940
FERM_M	1034	4212
FERM_N	366	1678
FF	124	884
FG-GAP	339	1143
FGF	518	2145
FH2	920	4574
FHA	369	1770
FKBP_C	480	1734
FXa_inhibition	1279	4129
FYVE	366	1673
Fasciclin	608	1695
Fascin	315	869
Ferric_reduct	340	1142
Fibrinogen_C	1247	3883
Filaggrin	457	814
Filament	5489	16588
Filamin	1622	5182
Forkhead	570	3444
Frizzled	579	2901
Fz	544	2045
G-alpha	914	4399
G-gamma	223	979
G-patch	221	856
G-patch_2	147	563
GAF	420	1394
GAGE	189	2647
GATA	111	593
GBP	562	2227
GDNF	222	1006
GPHH	184	907
GPS	267	977
GRAM	428	1998
GRIP	22	458
GST_C	354	1460
GST_C_2	144	820
GST_C_3	301	1055
GST_N	303	1242
GST_N_2	162	765
GST_N_3	160	734
GTF2I	90	1035
GTP_EFTU	494	2991
GTP_EFTU_D2	179	1011
Gal-bind_lectin	500	2354
Galactosyl_T	630	2245
Gelsolin	842	2595
Gla	89	444
Globin	216	1140
Glutaredoxin	109	547
Glyco_hydro_31	915	3382
Glyco_transf_29	1091	4019
Glyco_transf_7C	223	1010
Glycos_transf_2	1085	3804
GoLoco	85	260
Guanylate_cyc	978	4100
Guanylate_kin	627	2897
HA2	288	1324
HATPase_c	221	1100
HATPase_c_3	287	1324
HEAT	168	824
HEAT_2	362	1635
HEAT_EZ	189	958
HECT	1178	6882
HLH	895	4854
HMA	164	695
HMG_box	514	3480
HMG_box_2	534	3414
HR1	163	639
HRM	322	1148
HS1_rep	94	301
HSF_DNA-bind	70	691
HSP20	206	646
HSP70	1141	6879
HTH_Tnp_Tc5	118	648
Hairy_orange	91	345
Helicase_C	1894	9982
Hemopexin	890	2756
His_Phos_1	460	1803
Hist_deacetyl	569	2967
Histone	1981	5085
Histone_H2A_C	151	652
HlyIII	477	1895
Homeobox	2150	12549
Homeobox_KN	198	1687
Hormone_recep	1389	7329
Humanin	23	289
Hyd_WA	90	328
Hydrolase	1445	5502
Hydrolase_4	563	1689
I-set	15984	54261
IBN_N	149	963
IBR	231	1263
IGFBP	139	888
IL6Ra-bind	231	882
IL8	594	2036
INT_SG_DDX_CT_C	31	536
IQ	642	2109
IRK	889	4016
IRS	278	990
Ig_2	9834	33521
Ig_3	12166	41042
Integrin_alpha	52	173
Integrin_alpha2	1707	6087
Interfer-bind	363	1218
Interferon	624	2093
Involucrin	41	169
Ion_trans	7093	33045
Ion_trans_2	1170	5184
JAB	181	1148
JmjC	357	2275
JmjN	61	279
K167R	455	1326
KH_1	808	4958
KOW	56	359
KR	1145	3244
KRAB	3083	13274
KRTAP	212	487
Kazal_1	525	1981
Kazal_2	649	2414
Kelch_1	2242	9699
Kelch_2	1136	4613
Kelch_3	1133	5201
Kelch_4	852	3616
Kelch_5	126	571
Kelch_6	1051	4729
Keratin_2_head	657	1880
Keratin_B2	594	2015
Keratin_B2_2	1385	4068
Kinesin	2667	11375
Kringle	696	2649
Kunitz_BPTI	410	1127
L27	116	622
LBP_BPI_CETP	602	1459
LCE	383	863
LIM	1876	7441
LRRC37	35	1270
LRRCT	154	670
LRRNT	323	1264
LRR_4	1267	5861
LRR_5	1393	5858
LRR_6	263	937
LRR_8	5996	25928
LRR_9	386	2373
LSM	166	1101
Laminin_B	395	1156
Laminin_EGF	2308	6782
Laminin_G_1	2567	9120
Laminin_G_2	2706	9568
Laminin_G_3	529	1844
Laminin_N	775	2822
Ldl_recept_a	1831	5982
Ldl_recept_b	1258	4591
Lectin_C	2440	10869
Lig_chan	365	2285
Lig_chan-Glu_bd	378	1669
Linker_histone	344	671
Lipocalin	1071	3128
Lys	220	882
MAGE	837	5202
MAGE_N	266	1723
MAM	1013	3676
MARVEL	744	2817
MBOAT	755	2734
MBT	366	1698
MFS_1	8515	28749
MH1	151	1021
MHC_I	915	2419
MHC_II_alpha	121	360
MHC_II_beta	173	348
MHC_I_C	21	61
MIF4G	362	2003
MIP	674	1962
MIT	147	631
MMR_HSR1	1764	7569
MORN	253	1033
MT	1027	4071
Macro	263	1201
Med26	72	585
Metallophos	915	4257
Metallothio	215	520
Methyltransf_11	784	2843
Methyltransf_12	429	1661
Methyltransf_23	350	1444
Methyltransf_25	694	2589
Methyltransf_31	597	2090
Microtub_bd	1157	4990
Mito_carr	3202	11507
MreB_Mbl	274	1994
Mucin2_WxxW	174	732
MutS_V	203	736
MyTH4	273	870
Myb_DNA-bind_6	122	844
Myb_DNA-binding	270	2002
Myosin_N	132	468
Myosin_head	5490	19805
Myosin_tail_1	3462	11672
Myotub-related	777	3843
NACHT	983	2849
NAD_binding_1	350	925
NAD_binding_8	244	1139
NAP	305	3411
NCD3G	145	518
NDK	425	1436
NHL	150	828
NPIP	110	4537
NTF2	100	939
NTP_transf_2	174	847
NTR	305	1433
NUDIX	463	1778
Na_Ca_ex	546	2115
Na_H_Exchanger	1002	4210
Nebulin	1037	3806
Neur_chan_LBD	1855	7325
Neur_chan_memb	1847	6980
Neuralized	289	1312
Nop	141	545
Notch	100	457
OAR	52	228
OATP	1596	5325
OB_NTP_bind	365	1465
OLF	632	2551
OTU	160	1232
Oxysterol_BP	710	3389
PA	271	981
PAM2	34	164
PAN_1	193	789
PAP2	566	1943
PARP	524	2198
PAS	580	2505
PAS_11	373	1815
PAS_3	384	1973
PAS_9	242	976
PB1	199	927
PBD	121	516
PCI	227	1523
PDEase_I	857	4076
PDZ	3815	14835
PDZ_2	494	1694
PG_binding_1	245	832
PH	4463	20292
PHD	641	4348
PHD_2	74	458
PH_11	189	1532
PH_9	263	1186
PI-PLC-X	422	1747
PI-PLC-Y	314	1375
PI3_PI4_kinase	606	3706
PID	699	2973
PKD	620	984
PLAC	102	338
PLAT	590	2631
PLDc_2	316	1100
PMP22_Claudin	1532	5101
PNMA	430	3052
PP2C	763	3915
PPAK	136	548
PPTA	67	353
PRY	502	1838
PSI	501	1620
PSI_integrin	113	395
PTB	293	1239
PTCB-BRCT	190	816
PUF	72	488
PWWP	303	1923
PX	1009	4228
PYRIN	344	1260
Pep_M12B_propep	1132	3812
Peptidase_C1	698	2075
Peptidase_C14	633	2553
Peptidase_C2	931	3151
Peptidase_M1	935	4029
Peptidase_M10	835	2423
Peptidase_M14	1469	4997
PhoLip_ATPase_C	693	2745
PhoLip_ATPase_N	171	756
Phospholip_A2_1	366	924
Pkinase	20839	100484
Pkinase_C	283	1151
Pkinase_Tyr	20425	97951
Plectin	892	1713
Plexin_cytopl	951	3861
Pou	145	1007
Pre-SET	114	578
Prenyltrans	146	821
Pro-rich	261	983
Pro_isomerase	487	2803
Prok-RING_4	287	1304
Proteasome	601	2895
Pyr_redox_2	649	2450
R3H	117	537
RA	708	2481
RAWUL	67	456
RCC1	863	4539
RCC1_2	362	2157
RGS	836	3579
RINGv	81	481
RNase_T	416	1465
RPEL	56	375
RRM_1	3207	21293
RUN	471	2205
RYDR_ITPR	429	1851
RabGAP-TBC	1681	7969
Rad60-SLD	414	2281
Ran_BP1	171	2502
Ras	4279	21225
RasGAP	458	2310
RasGEF	850	4232
RasGEF_N	390	1671
Recep_L_domain	301	1231
Reprolysin	1546	6024
Reprolysin_2	384	1659
Reprolysin_3	857	3508
Reprolysin_5	1216	4877
ResIII	1310	7070
RhoGAP	1751	8184
RhoGEF	2407	10373
Rhodanese	439	2146
Ribosomal_L7Ae	177	856
Ricin_B_lectin	631	2111
RnaseA	405	1223
Roc	2686	14262
Rpr2	42	124
RyR	220	854
S1	160	729
S4	22	170
SAM_1	1238	5243
SAM_2	1299	5436
SAM_PNT	250	832
SAP	101	562
SBP_bac_3	647	3314
SCAN	950	4047
SEA	921	2900
SET	643	3602
SH2	1541	6835
SH3_1	2124	8795
SH3_2	2572	10832
SH3_9	2042	8520
SNARE	153	536
SNF	2097	7698
SNF2_N	1224	8225
SOCS_box	345	1030
SPAN-X	128	860
SPRY	2068	8038
SRCR	1561	5775
SRPRB	524	2840
SSF	1147	4088
SSXRD	45	265
START	648	2168
STAS	349	920
S_100	281	908
SapB_2	108	263
Sec7	489	2202
Sel1	85	383
Sema	2675	8800
Septin	733	3136
Serpin	3104	9251
Serum_albumin	403	1497
Snf7	464	1911
Somatomedin_B	132	466
Spectrin	6169	23085
Spin-Ssty	33	697
Sterol-sensing	317	1354
Sugar_tr	3799	12572
Sulfatase	1083	3919
Sulfate_transp	1000	3154
Sulfotransfer_1	1539	6348
Sulfotransfer_2	583	2411
Sulfotransfer_3	511	1630
Sushi	3924	13987
Syntaxin	373	1580
T-box	478	2603
TAF	301	754
TAS2R	1820	5931
TB	366	1352
TFIIS_C	22	212
TGF_beta	669	3005
TGFb_propeptide	723	2874
THAP	160	781
TIG	1297	4486
TIL	490	1887
TILa	160	868
TIR	569	2322
TIR_2	264	856
TMC	204	676
TNF	352	1700
TNFR_c6	434	1361
TPR_1	597	3721
TPR_10	262	1119
TPR_11	252	1461
TPR_12	747	3875
TPR_14	163	1065
TPR_17	158	930
TPR_19	397	1899
TPR_2	377	2377
TPR_7	68	472
TPR_8	188	1138
TRAM_LAG1_CLN8	599	2407
TSP_1	1873	6218
TSP_3	209	691
TTL	1049	3241
TUDOR	711	3739
Tetraspannin	1456	5166
ThiF	484	2573
Thiol-ester_cl	37	202
Thioredoxin	1093	3730
Thioredoxin_6	524	1652
Thyroglobulin_1	448	1362
Tissue_fac	323	1135
Transglut_C	405	1197
Transglut_core	324	844
Trefoil	124	458
Trypsin	6608	19332
Trypsin_2	886	2699
Tubulin	740	3981
Tubulin-binding	43	296
Tubulin_C	504	2333
UBA	236	1093
UBA_4	90	424
UBX	206	753
UCH	1872	15221
UCH_1	2110	17530
UDPGT	2944	8385
UIM	34	201
UPAR_LY6	350	1190
UQ_con	636	4832
V-set	8187	22255
VCBS	224	795
VPS9	220	919
VWA	4025	12945
VWA_2	2243	7847
VWA_3	633	2264
VWC	747	2498
VWD	1515	5940
WAP	241	706
WD40	2159	10573
WH1	183	983
WH2	94	330
WW	353	2113
WWE	220	858
Xin	119	381
Xlink	522	1662
Y_phosphatase	2207	9274
ZU5	319	938
ZZ	164	679
Zip	929	3318
Zona_pellucida	835	2455
adh_short	2521	7866
adh_short_C2	2755	8647
bZIP_1	377	1978
bZIP_2	383	1991
bZIP_Maf	358	1746
cEGF	1327	4330
cNMP_binding	739	2958
dDENN	125	603
dsrm	363	1893
fn1	118	447
fn2	186	807
fn3	12163	41230
hEGF	665	2427
ig	14647	48838
p450	6204	18730
tRNA-synt_1	650	2811
tRNA_int_endo	45	125
uDENN	155	767
ubiquitin	747	3549
wnt	1288	4452
zf-A20	30	232
zf-AN1	84	344
zf-BED	77	482
zf-B_box	584	2841
zf-C2H2	18383	80516
zf-C2H2_4	921	4095
zf-C2H2_6	985	4086
zf-C2H2_jaz	174	932
zf-C2HC	129	534
zf-C3HC4	1378	7819
zf-C3HC4_2	955	5299
zf-C3HC4_3	1144	6254
zf-C3HC4_4	465	2844
zf-C4	442	2702
zf-CCCH	252	1414
zf-CCHC	86	544
zf-CXXC	73	526
zf-DHHC	578	2577
zf-FCS	173	1288
zf-H2C2_2	5214	22710
zf-H2C2_5	260	1460
zf-HC5HC2H	310	1814
zf-HC5HC2H_2	295	1848
zf-MYND	138	682
zf-NF-X1	30	177
zf-RING_11	168	843
zf-RING_2	1089	6080
zf-RING_5	842	4804
zf-RING_UBOX	942	5340
zf-RanBP	123	657
zf-TRAF	143	483
zf-UBP	141	742
zf-met	217	1263
zf-rbx1	156	914
